Discount;SKUs
0.0%\;;["87086"]
10.0%\;;["13010", "13011", "13025", "13026", "13027", "13028", "13029", "13030", "13032", "13033", "13034", "19008", "19009", "19026", "19029", "19031", "19032", "23009", "39001", "26668", "26676", "26686", "26703", "26001", "26002", "26003", "26006", "26269", "26338", "26572", "26607", "26608", "26609", "26631", "26657", "26666", "26680", "26681", "26688", "1002", "1007", "1008", "1009", "1011", "1013", "1014", "1015", "1016", "1020", "1021", "1023", "49001", "49003", "49005", "49007", "49009", "49010", "49012", "49015", "49018", "49019", "49020", "3007", "3011", "3017", "3030", "3031", "3032", "3033", "3034", "3035", "3036", "3037", "3038", "3039", "3040", "3041", "3042", "3043", "150309", "15301", "15302", "15303", "15304", "15305", "15306", "15307", "15308", "15310", "15311", "15312", "15313", "15314", "15315", "15316", "15317", "15318", "15319", "15320", "15321", "15322", "15323", "15324", "7110", "7189", "140001", "101001", "101002", "101003", "101004", "1011004", "101104", "8057", "9002", "9003", "9004", "9005", "9006", "9007", "9008", "9016", "9018", "9020", "9022", "9023", "9025", "9026", "9027", "9028", "925", "26098", "26099", "26100", "26101", "26227", "26291", "26292", "26639", "26702", "26048", "26051", "26175", "26223", "26249", "26253", "26277", "26322", "26348", "26477", "26509", "26521", "26532", "26570", "26571", "26642", "26643", "26644", "26645", "26693", "26694", "26695", "26705", "26706", "26707", "26708", "4107", "4108", "4109", "4111", "4112", "4113", "4114", "4115", "4116", "4117", "4118", "4119", "4120", "4121", "4122", "4123", "4124", "4125", "4126", "4127", "4128", "4129", "4130", "4131", "4132", "4133", "4134", "4135", "4136", "4137", "4138", "44003", "44004", "44006", "44008", "44015", "44023", "44029", "44030", "44046", "44053", "44054", "44055", "44057", "44058", "23033", "7172", "12070", "7139", "161001", "88001", "88002", "88003", "88004", "88005", "88006", "88007", "88008", "88009", "88010", "88011", "88012", "88013", "88014", "88015", "88016", "88017", "88018", "88019", "88020", "88022", "88023", "113001", "113002", "113003", "113004", "113005", "113007", "113008", "113009", "113010", "113011", "113012", "113013", "113015", "113016", "113017", "113018", "113059", "113060", "3001", "3002", "3005", "3006", "3008", "3012", "3013", "3014", "3018", "3019", "3020", "3021", "11001", "11002", "15010", "15011", "15012", "15013", "15015", "15018", "15019", "15003", "15004", "121001", "121002", "121005", "121006", "121007", "121008", "121009", "121010", "121011", "121012", "121013", "121014", "121016", "121017", "121018", "65040", "65091", "26635", "86001", "86002", "86003", "86004", "86005", "86007", "86009", "86011", "86012", "86013", "86014", "86015", "86016", "86040", "86042", "6011", "6008", "6009", "6014", "6032", "6035", "6038", "8007", "31086", "31068", "31005", "31006", "31010", "31007", "31008", "31009", "31011", "31012", "31136", "31013", "31014", "31018", "31062", "31019", "31020", "31022", "31021", "31023", "31090", "31083", "31134", "31028", "31029", "31030", "31031", "31027", "31034", "31073", "31113", "31038", "31064", "31040", "31041", "31131", "31118", "31075", "31070", "31054", "31055", "31056", "31058", "31059", "31133", "31132", "31067", "31087", "31098", "31100", "31128", "31127", "31104", "31124", "31103", "31001", "31002", "31003", "31091", "31004", "31015", "31016", "31082", "31024", "31095", "31097", "31063", "31032", "31033", "31061", "31071", "31036", "31039", "35042", "35043", "31042", "31074", "31043", "31044", "99010", "99011", "7144", "112012", "112013", "112014", "112017", "112028", "112029", "112033", "112034", "112035", "112037", "112063", "8056", "8061", "8062", "8071", "27005", "27006", "27008", "27009", "27010", "27026", "27031", "27046", "27050", "27058", "27060", "27062", "27063", "27065", "57052", "28001", "28002", "28003", "23007", "28006", "28007", "28009", "28010", "28018", "28019", "28035", "28045", "28047", "28062", "28064", "28065", "28071", "28072", "28073", "28075", "28077", "28079", "28081", "28083", "28084", "28085", "28087", "28088", "28089", "28090", "28091", "29001", "29002", "29003", "29006", "29010", "29011", "29012", "29013", "29014", "15101", "15102", "15103", "135003", "159001", "159002", "112051", "112060", "35005", "35009", "35012", "35018", "35019", "35023", "35031", "35035", "35038", "35041", "35044", "35047", "35048", "35049", "35050", "35051", "23087", "62001"]
15.0%\;;["26719", "26720", "26721", "26722", "74004", "74006", "74007", "74008", "74009", "74010", "26095", "4901", "4902", "4903", "4904", "4905", "4906", "4907", "4908", "4909", "4910", "4911", "4912", "4913", "4914", "4915", "4916", "4917", "4918", "4919", "4920", "4921", "4922", "4923", "4924", "4925", "4926", "4927", "4928", "4929", "4930", "4931", "4932", "4933", "4934", "4935", "4936", "4937", "4938", "4939", "4940", "4941", "4942", "21004", "21005", "21010", "210100", "21011", "21016", "21020", "21021", "21022", "21026", "21029", "21031", "21036", "21039", "21041", "21045", "21048", "21051", "21052", "21058", "21059", "21061", "21062", "21066", "21067", "21069", "21073", "21075", "21076", "21079", "21082", "21083", "21084", "21085", "21086", "21088", "21089", "21091", "21094", "21096", "21099", "21100", "21101", "21102", "21103", "21104", "21107", "21108", "21109", "21111", "21112", "21113", "21114", "21119", "21120", "21121", "21122", "21123", "21124", "21125", "21126", "21127", "21128", "21129", "21130", "21131", "21132", "21133", "21134", "21135", "21136", "21137", "21138", "21139", "24001", "24002", "24003", "24004", "24007", "24008", "24011", "24012", "24014", "24015", "24016", "24018", "24019", "24020", "24021", "24022", "24023", "24024", "24025", "24026", "24027", "24028", "24029", "24030", "24031", "24032", "24033", "24034", "24035", "24036", "24037", "24038", "24039", "24040", "24041", "24042", "24044", "24045", "24046", "24047", "24048", "24049", "24050", "24051", "24052", "24053", "24054", "24061", "24062", "24063", "24064", "112015", "112016", "112018", "112019", "112020", "112021", "112022", "112023", "112024", "112030", "112031", "112032", "112038", "112040", "112041", "112042", "112043", "112044", "112045", "112046", "112068", "112070", "112078", "112079", "112080", "112081", "112083", "112084", "112085", "112090", "112091", "27040", "124003", "124005", "124006", "124007", "124008", "124009", "124010", "124011", "124012", "124013", "124014", "124015", "124016", "124017", "124018", "124019", "124020", "124021", "112001", "112002", "112003", "112004", "112005", "112006", "112007", "112008", "112009", "112010", "112011", "112025", "112026", "112047", "112048", "112049", "112050", "112052", "112054", "112056", "112057", "112058", "112059", "112064", "112065", "112071", "112072", "112076", "112077", "112082", "112086", "112087", "112088", "12076", "21115", "87001", "87002", "87004", "87005", "87011", "87012", "87014", "87016", "87018", "87020", "87023", "87024", "87025", "87029", "87030", "87031", "87032", "87038", "87041", "87042", "87045", "87046", "87048", "87050", "87051", "87053", "87054", "87055", "87056", "87057", "87058", "87059", "87060", "87065", "87066", "87067", "87070", "87071", "87072", "87073", "87074", "87075", "87076", "87077", "87078", "87079", "87080", "87081", "87082", "87083", "87084", "87085"]
20.0%\;;["22257", "22258", "22259", "22260", "22261", "22262", "22263", "22264", "22265", "22266", "22267", "22268", "22269", "22270", "22271", "22272", "22273", "22274", "22275", "22276", "22277", "22278", "22279", "22280", "22281", "22282", "22283", "22284", "22285", "22286", "22303", "22304", "22305", "114001", "114002", "114003", "114004", "114005", "114006", "114007", "114008", "114009", "114011", "114012", "114015", "114016", "114017", "114018", "114019", "114022", "114023", "114024", "114025", "114026", "76011", "76034", "76035", "76036", "76037", "76003", "76004", "76006", "76007", "76008", "76009", "76012", "76014", "76015", "76016", "76017", "76018", "76019", "76020", "76021", "76022", "76023", "76024", "76025", "76026", "76027", "76029", "76030", "76031", "76032", "76033", "76038", "160001", "160002", "160003", "160004", "160005", "160006", "160007", "80058", "12001", "12002", "12004", "12005", "12016", "12020", "12074", "12035", "12162", "12025", "12026", "12060", "12028", "12027", "12029", "12161", "12030", "12031", "12063", "12032", "31017", "31120", "31126", "31108", "31110", "31109", "31079", "31081", "31102", "31114", "31049", "31094", "31092", "31093", "31117", "31115", "31078", "31130", "31129", "31116", "31077", "97004", "97005", "97007", "97008", "63016", "22001", "22002", "22007", "22009", "22011", "22012", "22017", "22020", "22022", "22023", "22024", "22026", "22027", "22030", "22031", "22036", "22037", "22038", "22039", "22040", "22042", "22044", "22046", "22047", "22048", "22053", "22055", "22056", "22057", "22061", "22062", "22063", "22064", "22065", "22067", "22070", "22078", "22079", "22080", "22082", "22086", "22088", "22091", "22092", "22093", "22094", "22095", "22096", "22097", "22098", "22100", "22101", "22102", "22103", "22104", "22105", "22106", "22107", "22108", "22109", "22111", "22112", "22114", "22118", "22119", "22120", "22126", "22128", "22129", "22130", "22132", "22133", "22134", "22135", "22136", "22137", "22138", "22139", "22148", "22149", "22151", "22160", "22161", "22162", "22163", "22164", "22165", "22166", "22167", "22168", "22169", "22170", "22171", "22172", "22175", "22176", "22177", "22178", "22179", "22180", "22181", "22182", "22183", "22184", "22185", "22186", "22187", "22188", "22196", "22197", "22198", "22199", "22200", "22201", "22202", "22203", "22204", "22205", "22212", "22213", "22214", "22215", "22216", "22217", "22218", "22219", "22221", "22222", "22223", "22224", "22225", "22226", "22227", "22228", "22240", "22241", "22242", "22243", "22244", "22245", "22246", "22247", "22256", "22288", "22289", "22291", "22292", "22293", "22294", "22295", "22296", "22229", "22230", "22231", "22232", "22233", "22234", "22235", "22236", "22237", "22238", "22239", "22248", "22249", "22250", "22251", "22252", "22253", "22254", "22297", "22298", "22299"]
25.0%\;;["26007", "26010", "26019", "26020", "26028", "26029", "26030", "26117", "26118", "26162", "26166", "26167", "26168", "26201", "26203", "26204", "26216", "26217", "26218", "26219", "26230", "26231", "26349", "26350", "26352", "26454", "26455", "26467", "26468", "26487", "26489", "26495", "26496", "26497", "26499", "26503", "26504", "26522", "26523", "26542", "26543", "26544", "26545", "26546", "26547", "26549", "26550", "26552", "26553", "26556", "26557", "26585", "26586", "26588", "26590", "26591", "26592", "26593", "26594", "26595", "26596", "26597", "26598", "26599", "26600", "26601", "26604", "26605", "26606", "26646", "26647", "26648", "26649", "26650", "26663", "26689", "26690", "26691", "26692", "26709", "26710", "26711", "26037", "26038", "26287", "26039", "26575", "26640", "26641", "26576", "26655", "26525", "26577", "26669", "26372", "26074", "26578", "26077", "26076", "26536", "26518", "26656", "26541", "26704", "26078", "26211", "26420", "26579", "26574", "26111", "26079", "26573", "26623", "26625", "26238", "26671", "26667", "26670", "26418", "26699", "26658", "26675", "26045", "26460", "26583", "26622", "26046", "26458", "26491", "26674", "26047", "26389", "26327", "26614", "26613", "26611", "26612", "26059", "26400", "26619", "26056", "26654", "26652", "26651", "26417", "26102", "26679", "26237", "26402", "26161", "26637", "26471", "26474", "26472", "26475", "26665", "26473", "26638", "26636", "26697", "26220", "26696", "26526", "26628", "26527", "26401", "26398", "26716", "26399", "26662", "116001", "116002", "116003", "116004", "116007", "116008", "116010", "116011", "116012", "116013", "116015", "116016", "116017", "116021", "116022", "116023", "116024", "116025", "116027", "116028", "116029", "116030", "116031", "116032", "116033", "116034", "116035", "116036", "26221", "26510", "26258", "26629", "26403", "26090", "26364", "26093", "26540", "26630", "26534", "26698", "26535", "26659", "26501", "26178", "26189", "26502", "26500", "26533", "26490", "26222", "26281", "26096", "26363", "80040", "80041", "80067", "80068", "80069", "80007", "80001", "80006", "80003", "80005", "80051", "80004", "80044", "80048", "80047", "80050", "80049", "80064", "80021", "80022", "80066", "80065", "80011", "80010", "80009", "80008", "80025", "80046", "80052", "80027", "80037", "80029", "80030", "80031", "80054", "80013", "65003", "65007", "65008", "65009", "65010", "65012", "65013", "65015", "65017", "65018", "65019", "65020", "65021", "65022", "65024", "65026", "65027", "65028", "65029", "65030", "65031", "65033", "65034", "65035", "65036", "65039", "65041", "65042", "65043", "65044", "65045", "65046", "65047", "65049", "65050", "65051", "65052", "65053", "65054", "65055", "65056", "65057", "65058", "65059", "65060", "65062", "65063", "65064", "65071", "65072", "65073", "65074", "65075", "65076", "65077", "65081", "65082", "65083", "65085", "65086", "65087", "65088", "65089", "65090", "65094", "65095", "65096", "65101", "65102", "65103", "65104", "65105", "65106", "65110", "65111", "65112", "65113", "65115", "65117", "65118", "65120", "65122", "65124", "65125", "65126", "65127", "74011", "65124", "120001", "120002", "120003", "120004", "120008", "32001", "32002", "32003", "32004", "32007", "32008", "32010", "32011", "32013", "32015", "32016", "32017", "32018", "32019", "32020", "32021", "32025", "32027", "32028", "32031", "32034", "32035", "32036", "32038", "32040", "32041", "32044", "32045", "32046", "32047", "32048", "32049", "32050", "32051", "32052", "32053", "32054", "32056", "32059", "32060", "32061", "32066", "32067", "32068", "32070", "32071", "32072", "32083", "32084", "32085", "32086", "32088", "32089", "32090", "32091", "32093", "32094", "32095", "32096", "32097", "32098", "32099", "32100", "32101", "32102", "32103", "32105", "32106", "32108", "32109", "32111", "32117", "32118", "32119", "32120", "32121", "32122", "32123", "32124", "32125", "32126", "32127", "32128", "32129", "32130", "32132", "32133", "32134", "32135", "32137", "32138", "32139", "32140", "32141", "32142", "32143", "32144", "32145", "32147", "32154", "32157", "32158", "32162", "32163", "32164", "32165", "32170", "32171", "32172", "32173", "32174", "32175", "32176", "32177", "32178", "32179", "32180", "32181", "32186", "32187", "32189", "32190", "32191", "32192", "32194", "32195", "32196", "32197", "32198", "32199", "32200", "32201", "32202", "32203", "32204", "32205", "32206", "32207", "32208", "32209", "32210", "32212", "32219", "32220", "32221", "32224", "32225", "32232", "32233", "32234", "32236", "32237", "32238", "32240", "32241", "32243", "32244", "32247", "32248", "32249", "32250", "32259", "32262", "32264", "32265", "32266"]
30.0%\;;["4006", "4010", "4012", "4014", "4015", "4016", "4017", "4018", "4019", "4020", "4021", "4024", "4025", "4027", "4029", "4031", "4032", "4039", "4047", "4048", "4052", "4057", "4058", "4063", "4064", "4072", "4074", "4075", "4076", "4077", "4079", "4080", "4083", "4084", "4085", "4087", "4089", "4090", "4091", "4095", "4096", "4100", "4101", "4102", "4103", "4106", "4110", "4139", "4140", "4141", "4142", "4143", "4144", "4145", "4146", "4147", "4148", "4149", "4150", "4151", "4152", "4156", "4157", "4158", "4159", "4163", "4164", "4165", "4166", "4004", "4005", "4167", "12043", "12007", "12061", "12010", "12011", "12068", "12067", "12044", "12012", "12036", "12062", "12041", "12071", "12072", "12075", "12073", "12015", "12045", "12046", "12040", "12039", "12078", "12077", "120063", "120064", "120065", "12049", "12050", "12033", "82001", "82002", "82004", "82005", "82006", "82010", "82011", "82018", "82019", "82021", "82023", "8001", "8002", "8003", "8004", "8005", "8009", "8010", "8011", "8012", "8014", "8015", "8018", "8019", "8025", "8027", "8032", "8034", "8035", "8037", "8041", "8044", "8060", "8063", "8064", "8068", "8069", "8072", "8092", "8100", "8102", "8103", "8104", "899", "8108", "8109", "8110", "98001", "139004", "139005", "139007", "139008"]
35.0%\;;["10001", "10009", "100104", "10011", "10012", "10013", "10016", "10017", "10020", "10021", "10025", "10026", "10027", "10029", "10037", "10038", "10039", "10047", "10049", "10050", "10051", "10052", "10063", "10073", "10074", "10075", "10076", "10095", "10107", "10108", "10110", "10114", "10116", "10126", "10127", "10129", "10128", "10131", "10138", "10139", "10140", "10142", "10144", "10145", "10146", "10147", "10148", "10149", "10150", "10151", "10153", "10154", "10155", "10156", "10157", "10163", "10164", "10158", "18119", "33002", "33003", "33004", "33006", "33007", "33008", "33009", "33013", "33027", "33030", "33041", "33042", "33045", "33046", "33063", "33064", "33065", "33067", "33068", "33069", "33070", "33072", "33073", "33074", "33075", "33077", "33078", "33079", "33080", "33081", "33086", "33087", "33088", "33094", "33095", "33099", "33100", "33101", "33102", "33104", "33105", "33106", "33107", "33108", "33109", "59035", "59073", "59057", "59007", "59038", "59001", "59002", "59005", "59006", "59014", "59018", "59020", "59021", "59029", "59031", "59032", "59033", "59034", "59036", "59070", "59039", "59040", "59041", "59042", "59043", "59044", "59045", "59046", "59048", "59049", "59051", "59053", "59054", "59055", "59056", "59069", "59063", "59064", "59065", "59071", "59067", "59072", "59068", "59095", "59099", "59096", "59074", "59075", "59004", "59097", "59098", "59079", "59080", "59081", "59082", "59083", "59085", "59086", "59100", "59088", "59089", "59090", "59091", "59094", "59093", "59092", "59076", "59066", "59087", "59078", "59028", "59102", "59101", "59077", "59103"]
50.0%\;;["137001", "137002", "137003", "137004", "137005", "137006", "137007", "137008", "137009", "137010", "132001", "132002", "132003", "132004", "132005", "132008", "132011", "132012", "132013", "132014", "132016", "132017", "132019", "132020", "132022", "98002", "139013", "139014", "139015", "139016", "139017", "10109", "10115", "10130", "60001", "60005", "139009", "139010", "139011", "139012"]
